origin,sugar,metabolism,carrying capacity,vision,lifespan,pollution rate,age,fitness,x,y
119.0,9.913726855532142,1.0,19.0,5.0,48.0,0.0,25.0,9.913726855532142,46.0,10.0
320.0,3.7591786962935263,1.0,17.0,5.0,43.0,0.0,38.0,3.7591786962935263,4.0,20.0
359.0,7.083451053572135,1.0,16.0,5.0,48.0,0.0,44.0,7.083451053572135,47.0,23.0
126.0,8.381115604089283,1.0,19.0,5.0,32.0,0.0,22.0,8.381115604089283,42.0,13.0
359.0,5.39421267090104,1.0,19.0,5.0,48.0,0.0,22.0,5.39421267090104,36.0,7.0
87.0,10.085232372070886,1.0,18.0,5.0,45.0,0.0,44.0,10.085232372070886,38.0,9.0
126.0,11.076883487554344,1.0,19.0,5.0,32.0,0.0,12.0,11.076883487554344,46.0,32.0
119.0,5.1421363717116115,1.0,16.0,4.0,48.0,0.0,13.0,5.1421363717116115,47.0,27.0
87.0,7.93471500793969,1.0,19.0,5.0,45.0,0.0,10.0,7.93471500793969,49.0,26.0
87.0,10.892938281406348,1.0,17.0,5.0,45.0,0.0,29.0,10.892938281406348,0.0,29.0
119.0,6.1481839787432495,1.0,19.0,4.0,48.0,0.0,30.0,6.1481839787432495,2.0,39.0
129.0,8.543185536102271,1.0,17.0,4.0,37.0,0.0,16.0,8.543185536102271,43.0,26.0
320.0,0.7431956094392791,1.0,19.0,5.0,43.0,0.0,29.0,0.7431956094392791,23.0,44.0
359.0,12.082162506958607,1.0,19.0,5.0,48.0,0.0,7.0,12.082162506958607,0.0,36.0
155.0,4.979989419052018,1.0,19.0,5.0,44.0,0.0,20.0,4.979989419052018,3.0,18.0
155.0,11.470550969111398,1.0,17.0,5.0,44.0,0.0,27.0,11.470550969111398,7.0,28.0
320.0,0.9192322985721373,1.0,17.0,4.0,43.0,0.0,32.0,0.9192322985721373,35.0,21.0
246.0,9.134057125481206,1.0,16.0,5.0,45.0,0.0,9.0,9.134057125481206,16.0,5.0
129.0,2.320579121504924,1.0,19.0,5.0,37.0,0.0,13.0,2.320579121504924,27.0,41.0
126.0,5.122282360455307,1.0,16.0,5.0,32.0,0.0,14.0,5.122282360455307,2.0,7.0
129.0,9.265369395782333,1.0,17.0,4.0,37.0,0.0,35.0,9.265369395782333,34.0,39.0
320.0,11.00508047809354,1.0,17.0,5.0,43.0,0.0,2.0,11.00508047809354,14.0,1.0
155.0,5.473238523920381,1.0,16.0,5.0,44.0,0.0,7.0,5.473238523920381,42.0,34.0
320.0,10.007953303262747,1.0,19.0,5.0,43.0,0.0,2.0,10.007953303262747,43.0,13.0
87.0,10.347292132093006,1.0,17.0,5.0,45.0,0.0,8.0,10.347292132093006,45.0,19.0
155.0,18.0,1.0,17.0,5.0,44.0,0.0,6.0,18.0,42.0,24.0
359.0,7.6200962153687115,1.0,16.0,5.0,48.0,0.0,16.0,7.6200962153687115,49.0,28.0
320.0,7.9993059987772295,1.0,17.0,5.0,43.0,0.0,18.0,7.9993059987772295,40.0,36.0
320.0,19.0,1.0,17.0,5.0,43.0,0.0,0.0,3.7591786962935263,4.0,20.0
87.0,19.0,1.0,17.0,5.0,45.0,0.0,0.0,14.0,0.0,32.0
87.0,21.0,1.0,16.0,4.0,45.0,0.0,0.0,15.000876889691039,17.0,6.0
87.0,21.0,1.0,17.0,5.0,45.0,0.0,0.0,9.691842337896084,36.0,9.0
87.0,4.0,1.0,17.0,5.0,45.0,0.0,0.0,15.000876889691039,17.0,6.0
359.0,4.0,1.0,19.0,5.0,48.0,0.0,0.0,19.0,12.0,13.0
246.0,17.0,1.0,17.0,5.0,45.0,0.0,0.0,15.0,45.0,26.0
87.0,17.0,1.0,19.0,5.0,45.0,0.0,0.0,10.640431483683155,37.0,37.0
87.0,5.0,1.0,19.0,5.0,45.0,0.0,0.0,13.432550709579571,38.0,37.0
246.0,5.0,1.0,17.0,5.0,45.0,0.0,0.0,10.706756009925567,47.0,24.0
